"","kegg.name","id","grpvar","EMO","MEM","MMO","KO","names","Pathway","Bamboo","Larval food","BvL"
"1","K00001_alcohol dehydrogenase [EC:1.1.1.1]","K00001","variable:Microbe_treatment",0.221834149133406,0.080503075621525,0.125572730294728,"K00001","alcohol dehydrogenase [EC:1.1.1.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450",0.859324448187593,0.222665247777807,0.636659200409785
"2","K00002_alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","K00002","variable:Microbe_treatment",0.472594356803166,0.311277146940312,-1.00872607392027,"K00002","alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome",-0.424866030037123,-0.143688931470562,-0.281177098566561
"3","K00003_homoserine dehydrogenase [EC:1.1.1.3]","K00003","variable:Microbe_treatment",0.523513925279065,0.203625505960321,-0.405260757444336,"K00003","homoserine dehydrogenase [EC:1.1.1.3]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis",0.810276377613018,0.00360842288627312,0.806667954726744
"4","K00004_(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]","K00004","variable:Microbe_treatment",0.388051838187997,-0.105438130583321,-0.263993337894666,"K00004","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]","Metabolism; Carbohydrate metabolism; Butanoate metabolism",0.565764494611776,-0.518682046719302,1.08444654133108
"5","K00005_glycerol dehydrogenase [EC:1.1.1.6]","K00005","variable:Microbe_treatment",-0.304293884171797,-0.283288930930366,0.600494112488007,"K00005","glycerol dehydrogenase [EC:1.1.1.6]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism",-0.282414416038743,0.315061216067985,-0.597475632106727
"6","K00007_D-arabinitol 4-dehydrogenase [EC:1.1.1.11]","K00007","variable:Microbe_treatment",-0.185462338699416,-0.34597013912442,0.57597206049919,"K00007","D-arabinitol 4-dehydrogenase [EC:1.1.1.11]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism",-0.34605702279993,0.458677374228163,-0.804734397028093
"7","K00008_L-iditol 2-dehydrogenase [EC:1.1.1.14]","K00008","variable:Microbe_treatment",0.291830967974619,-0.141381784684434,0.0648873780669614,"K00008","L-iditol 2-dehydrogenase [EC:1.1.1.14]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism",0.587447787333754,-0.0429595420766074,0.630407329410361
"8","K00009_mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]","K00009","variable:Microbe_treatment",0.376083281646753,-0.0873089782581923,-0.144749642211458,"K00009","mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism",0.690990560076348,-0.326817683237229,1.01780824331358
"9","K00010_myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]","K00010","variable:Microbe_treatment",0.405265918671828,0.221536989960047,-0.295621613103454,"K00010","myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]","Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis",1.20338716755998,-0.365980266809945,1.56936743436993
"10","K00011_aldehyde reductase [EC:1.1.1.21]","K00011","variable:Microbe_treatment",0.243481400514527,-0.147008251308484,-0.25388783680651,"K00011","aldehyde reductase [EC:1.1.1.21]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis",1.0242876552642,-1.4223178201795,2.4466054754437
